,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
131,131,Bahamas,"7,765",,164 ,,"6,127",,"1,474",16,"19,657",415
132,132,Andorra,"7,602",,81 ,,"7,028",,493,17,"98,314","1,048"
133,133,Eswatini,"7,562",,141  ,,"6,761",,660,67,"6,486",121
134,134,Rwanda,"7,402",,65 ,,"6,100",,"1,237",,565,5
135,135,Trinidad and Tobago,"7,012",,125 ,,"6,471",,416,3,"5,003",89
136,136,Mali,"6,232",,225 ,,"3,858",,"2,149",,304,11
137,137,Malawi,"6,202",,187 ,,"5,664",,351,4,320,10
138,138,Congo,"6,200",,100 ,,"4,988",,"1,112",,"1,111",18
139,139,Guyana,"6,171",,159 ,,"5,369",,643,7,"7,828",202
140,140,Nicaragua,"5,938",,163 ,,"4,225",,"1,550",,891,24
141,141,Djibouti,"5,786",+3,61 ,,"5,676",+8,49,,"5,816",61
142,142,Thailand,"5,716",+427,60 ,,"4,078",+25,"1,578",1,82,0.9
143,143,Mayotte,"5,708",,53 ,,"2,964",,"2,691",4,"20,689",192
144,144,Iceland,"5,667",+11,28 ,,"5,500",+13,139,2,"16,556",82
145,145,Martinique,"5,634",,42 ,,98,,"5,494",5,"15,019",112
146,146,Suriname,"5,583",,118 ,,"5,296",,169,5,"9,477",200
147,147,Burkina Faso,"5,301",,76 ,,"3,758",,"1,467",,250,4
148,148,Equatorial Guinea,"5,231",,85 ,,"5,077",,69,,"3,673",60
149,149,Aruba,"5,176",,47 ,,"4,969",,160,4,"48,382",439
150,150,CAR,"4,936",,63 ,,"1,924",,"2,949",2,"1,014",13
151,151,Somalia,"4,690",+28,127 ,+3,"3,605",+39,958,,291,8
152,152,Curaçao,"3,974",,11 ,,"2,284",,"1,679",6,"24,171",67
153,153,Gambia,"3,786",,123 ,,"3,656",,7,1,"1,546",50
154,154,Togo,"3,436",,66 ,,"3,054",,316,,411,8
155,155,South Sudan,"3,234",,62 ,,"3,111",,61,1,287,6
156,156,Benin,"3,167",,44 ,,"3,061",,62,,258,4
157,157,Channel Islands,"2,738",,52 ,,"1,535",,"1,151",10,"15,680",298
158,158,Niger,"2,724",,87 ,,"1,432",,"1,205",9,111,4
159,159,Lesotho,"2,546",,48 ,,"1,445",,"1,053",,"1,184",22
160,160,Sierra Leone,"2,509",,75 ,,"1,856",,578,,312,9
161,161,Guinea-Bissau,"2,447",,44 ,,"2,378",,25,5,"1,230",22
162,162,San Marino,"2,176",+40,56 ,+1,"1,825",+58,295,8,"64,066","1,649"
163,163,New Zealand,"2,121",,25 ,,"2,037",,59,,424,5
164,164,Yemen,"2,087",,606 ,,"1,384",,97,23,69,20
165,165,Chad,"1,902",,102 ,,"1,633",,167,,114,6
166,166,Liechtenstein,"1,826",+42,28 ,+1,"1,542",+35,256,17,"47,826",733
167,167,Liberia,"1,779",,83 ,,"1,406",,290,2,348,16
168,168,Vietnam,"1,420",+6,35 ,,"1,281",+12,104,,15,0.4
169,169,Sint Maarten,"1,338",,26 ,,"1,202",,110,4,"31,040",603
170,170,Gibraltar,"1,330",+48,6 ,,"1,075",+6,249,1,"39,482",178
171,171,Sao Tome and Principe,"1,012",,17 ,,958,,37,,"4,578",77
172,172,Mongolia,"1,006",+13, ,,541,+32,465,4,305,
173,173,Saint Martin,918,,12 ,,780,,126,7,"23,553",308
174,174,Eritrea,807,, ,,597,,210,,226,
175,175,Turks and Caicos,798,,6 ,,759,,33,1,"20,480",154
176,176,Taiwan,770,+4,7 ,,632,+5,131,,32,0.3
177,177,Burundi,762,,2 ,,687,,73,,63,0.2
178,178,Papua New Guinea,761,,9 ,,601,,151,,84,1.0
179,179,Monaco,742,,3 ,,631,,108,4,"18,845",76
180,181,Comoros,666,,7 ,,611,,48,,758,8
181,182,Faeroe Islands,547,, ,,518,,29,2,"11,174",
182,183,Bermuda,527,,9 ,,276,,242,4,"8,477",145
183,184,Mauritius,524,,10 ,,489,,25,,412,8
184,185,Tanzania,509,,21 ,,183,,305,7,8,0.3
185,186,Bhutan,479,+12, ,,430,+1,49,,618,
186,187,Isle of Man,374,,25 ,,346,,3,,"4,387",293
187,188,Cambodia,363,, ,,347,+2,16,,22,
188,189,Barbados,322,+1,7 ,,283,+2,32,1,"1,120",24
189,190,Cayman Islands,316,,2 ,,288,,26,1,"4,782",30
190,191,Saint Lucia,287,,5 ,,261,,21,,"1,560",27
191,192,Seychelles,205,, ,,184,,21,,"2,078",
192,193,Caribbean Netherlands,179,,3 ,,172,,4,,"6,796",114
193,194,St. Barth,175,,1 ,,161,,13,,"17,693",101
194,195,Antigua and Barbuda,153,,5 ,,143,,5,1,"1,556",51
195,197,St. Vincent Grenadines,107,+3, ,,85,,22,,963,
196,198,Grenada,103,, ,,49,,54,,913,
197,199,Dominica,88,, ,,83,,5,,"1,221",
198,200,British Virgin Islands,86,,1 ,,74,,11,,"2,836",33
199,203,Laos,41,, ,,37,,4,,6,
200,204,New Caledonia,38,+1, ,,37,+2,1,,132,
201,206,Saint Kitts and Nevis,30,, ,,25,,5,,562,
202,207,Vatican City,27,, ,,15,,12,,"33,666",
203,208,Greenland,25,, ,,19,,6,,440,
204,209,Falkland Islands,23,, ,,17,,6,,"6,521",
205,210,Solomon Islands,17,, ,,5,,12,,24,
206,213,Western Sahara,10,,1 ,,8,,1,,17,2
207,217,Wallis and Futuna,4,, ,,1,,3,,359,
208,220,China,"86,867",+15,"4,634 ",,"81,909",+9,324,4,60,3
209,Total:,"77,920,539","+190,890","1,713,152","+4,475","54,786,890","+202,016","21,420,497","106,251","9,996.5",219.8,
